Date,Close,Log,stdev,annual v,variance,drift,annual drift,,,,,date,close,log,stdev,annual v,variance,drift,annual drift
2/28/2018,3.32,,,,,,,,,,,5/1/2018,3.2,0.00627,0.019621108,0.311475432,0.000384988,-0.005533104,-1.394342215
3/1/2018,3.27,-0.015174798,0.014662645,0.232762273,0.000214993,-0.002747506,-0.006923715,,,,,5/2/2018,3.19,-0.003129893,,,,,
3/4/2018,3.3,0.009132484,,,,,,,,,,5/3/2018,3.22,0.009360443,,,,,
3/5/2018,3.37,0.020990276,,,,,,,,,,5/4/2018,3.24,0.00619197,,,,,
3/6/2018,3.35,-0.005952399,,,,,,,,,,5/7/2018,3.25,0.003081667,,,,,
3/7/2018,3.39,0.011869576,,,,,,,,,,5/8/2018,3.22,-0.009273637,,,,,
3/8/2018,3.44,0.01464155,,,,,,,,,,5/9/2018,3.25,0.009273637,,,,,
3/11/2018,3.44,0,,,,,,,,,,5/10/2018,3.17,-0.024923408,,,,,
3/12/2018,3.41,-0.00875918,,,,,,,,,,5/11/2018,3.2,0.009419222,,,,,
3/13/2018,3.32,-0.026747508,,,,,,,,,,5/14/2018,3.04,-0.051293294,,,,,
3/14/2018,3.3,-0.006042314,,,,,,,,,,5/15/2018,2.87,-0.057545486,,,,,
3/15/2018,3.35,0.015037877,,,,,,,,,,5/16/2018,2.86,-0.003490405,,,,,
3/18/2018,3.35,0,,,,,,,,,,5/17/2018,2.87,0.003490405,,,,,
3/19/2018,3.37,0.005952399,,,,,,,,,,5/18/2018,2.85,-0.006993035,,,,,
3/20/2018,3.33,-0.01194044,,,,,,,,,,5/21/2018,2.8,-0.017699577,,,,,
3/21/2018,3.27,-0.018182319,,,,,,,,,,5/22/2018,2.74,-0.021661497,,,,,
3/22/2018,3.22,-0.015408625,,,,,,,,,,5/23/2018,2.78,0.014493007,,,,,
3/25/2018,3.2,-0.00623055,,,,,,,,,,5/24/2018,2.79,0.003590668,,,,,
3/26/2018,3.21,0.003120127,,,,,,,,,,5/25/2018,2.87,0.028270434,,,,,
3/27/2018,3.18,-0.00938974,,,,,,,,,,5/28/2018,2.84,-0.010507978,,,,,
3/28/2018,3.14,-0.012658397,,,,,,,,,,5/29/2018,2.81,-0.010619569,,,,,
4/3/2018,3.15,0.003179653,,,,,,,,,,5/30/2018,2.79,-0.007142888,,,,,
4/4/2018,3.13,-0.006369448,,,,,,,,,,5/31/2018,2.8,0.003577821,,,,,
4/5/2018,3.11,-0.006410278,,,,,,,,,,,,,,,,,
4/6/2018,3.1,-0.003220615,,,,,,,,,,,,,,,,,
4/9/2018,3.11,0.003220615,,,,,,,,,,,,,,,,,
4/10/2018,3.15,0.012779727,,,,,,,,,,,,,,,,,
4/11/2018,3.1,-0.016000341,,,,,,,,,,,,,,,,,
4/12/2018,3.09,-0.003231021,,,,,,,,,,,,,,,,,
4/13/2018,3.1,0.003231021,,,,,,,,,,,,,,,,,
4/16/2018,3.12,0.00643089,,,,,,,,,,,,,,,,,
4/17/2018,3.15,0.009569451,,,,,,,,,,,,,,,,,
4/18/2018,3.12,-0.009569451,,,,,,,,,,,,,,,,,
4/19/2018,3.11,-0.003210276,,,,,,,,,,,,,,,,,
4/20/2018,3.08,-0.009693129,,,,,,,,,,,,,,,,,
4/23/2018,3.09,0.003241494,,,,,,,,,,,,,,,,,
4/24/2018,3.1,0.003231021,,,,,,,,,,,,,,,,,
4/26/2018,3.11,0.003220615,,,,,,,,,,,,,,,,,
4/27/2018,3.15,0.012779727,,,,,,,,,,,,,,,,,
4/30/2018,3.18,0.009478744,,,,,,,,,,,,,,,,,
5/1/2018,3.2,0.006269613,,,,,,,,,,,,,,,,,
5/2/2018,3.19,-0.003129893,,,,,,,,,,,,,,,,,
5/3/2018,3.22,0.009360443,,,,,,,,,,,,,,,,,
5/4/2018,3.24,0.00619197,,,,,,,,,,,,,,,,,
5/7/2018,3.25,0.003081667,,,,,,,,,,,,,,,,,
5/8/2018,3.22,-0.009273637,,,,,,,,,,,,,,,,,
5/9/2018,3.25,0.009273637,,,,,,,,,,,,,,,,,
5/10/2018,3.17,-0.024923408,,,,,,,,,,,,,,,,,
5/11/2018,3.2,0.009419222,,,,,,,,,,,,,,,,,
5/14/2018,3.04,-0.051293294,,,,,,,,,,,,,,,,,
5/15/2018,2.87,-0.057545486,,,,,,,,,,,,,,,,,
5/16/2018,2.86,-0.003490405,,,,,,,,,,,,,,,,,
5/17/2018,2.87,0.003490405,,,,,,,,,,,,,,,,,
5/18/2018,2.85,-0.006993035,,,,,,,,,,,,,,,,,
5/21/2018,2.8,-0.017699577,,,,,,,,,,,,,,,,,
5/22/2018,2.74,-0.021661497,,,,,,,,,,,,,,,,,
5/23/2018,2.78,0.014493007,,,,,,,,,,,,,,,,,
5/24/2018,2.79,0.003590668,,,,,,,,,,,,,,,,,
5/25/2018,2.87,0.028270434,,,,,,,,,,,,,,,,,
5/28/2018,2.84,-0.010507978,,,,,,,,,,,,,,,,,
5/29/2018,2.81,-0.010619569,,,,,,,,,,,,,,,,,
5/30/2018,2.79,-0.007142888,,,,,,,,,,,,,,,,,
5/31/2018,2.8,0.003577821,,,,,,,,,,,,,,,,,
